Date,Open,High,Low,Close,Volume,stock_id
2017-09-13,25.072,25.072,25.032,25.032,754,5688
2017-09-14,25.042,25.042,25.018,25.032,1376,5688
2017-09-15,25.052,25.052,24.992,25.022,2158,5688
2017-09-18,25.072,25.072,25.062,25.062,423,5688
2017-09-19,25.042,25.062,25.042,25.048,4129,5688
2017-09-20,25.006,25.032,25.006,25.032,3366,5688
2017-09-21,25.012,25.052,25.012,25.032,4945,5688
2017-09-22,25.031,25.032,25.031,25.032,507,5688
2017-09-25,25.062,25.062,25.062,25.062,342,5688
2017-09-26,25.072,25.072,25.042,25.062,10998,5688
2017-09-27,25.032,25.052,25.022,25.052,18761,5688
2017-09-28,25.052,25.052,24.954,24.972,13609,5688
2017-09-29,25.022,25.022,24.964,24.982,4826,5688
2017-10-02,25.14,25.14,25.05,25.07,7112,5688
2017-10-03,25.09,25.09,25.02,25.04,15248,5688
2017-10-04,25.06,25.08,25.059,25.06,5011,5688
2017-10-05,25.1,25.1,25.02,25.02,15630,5688
2017-10-06,25.0,25.0,24.89,24.924,18222,5688
2017-10-09,24.955,24.9661,24.889,24.9,10153,5688
2017-10-10,24.92,24.94,24.915,24.9376,2380,5688
2017-10-11,24.95,24.96,24.9236,24.94,3945,5688
2017-10-12,25.0,25.0099,24.95,25.0099,1668,5688
2017-10-13,25.04,25.04,25.0356,25.04,4605,5688
2017-10-16,25.04,25.04,25.01,25.0399,1625,5688
2017-10-17,25.1,25.1,25.0167,25.03,4824,5688
2017-10-18,25.07,25.07,25.03,25.04,7367,5688
2017-10-19,25.06,25.06,25.0348,25.04,9326,5688
2017-10-20,25.06,25.09,25.05,25.0699,11178,5688
2017-10-23,25.12,25.13,25.1158,25.1158,8606,5688
2017-10-24,25.13,25.13,25.1167,25.12,1151,5688
2017-10-25,25.1,25.1,25.05,25.05,3671,5688
2017-10-26,25.05,25.064,25.03,25.04,7048,5688
2017-10-27,25.11,25.11,25.11,25.11,113,5688
2017-10-30,25.12,25.12,25.02,25.02,8721,5688
2017-10-31,25.05,25.06,25.0478,25.052,3150,5688
2017-11-01,25.11,25.11,24.9101,24.9549,2997,5688
2017-11-02,24.95,25.0,24.9,24.965,10752,5688
2017-11-03,24.965,24.965,24.965,24.965,10791,5688
2017-11-06,24.9,25.005,24.8991,24.99,3216,5688
2017-11-07,24.94,24.96,24.94,24.94,3732,5688
2017-11-08,24.9453,24.9453,24.9353,24.94,1867,5688
2017-11-09,24.91,24.92,24.89,24.9,5159,5688
2017-11-10,24.8999,24.9,24.8306,24.8405,3348,5688
