Date,Open,High,Low,Close,Volume,stock_id
2016-06-20,23.75,23.785,23.75,23.756,1980,2718
2016-06-23,23.958,23.958,23.958,23.958,228,2718
2016-06-24,23.479,23.479,23.249,23.249,1070,2718
2016-06-27,22.491,22.491,22.491,22.491,137,2718
2016-07-01,23.835,23.835,23.835,23.835,938,2718
2016-07-13,24.5,24.5,24.5,24.5,106,2718
2016-07-19,24.726,24.726,24.726,24.726,469,2718
2016-07-21,24.698,24.698,24.698,24.698,6923,2718
2016-07-25,24.688,24.688,24.668,24.668,563,2718
2016-07-29,24.732,24.803,24.732,24.803,10529,2718
2016-08-01,24.553,24.553,24.544,24.544,2710,2718
2016-08-04,24.726,24.726,24.726,24.726,988,2718
2016-08-10,24.821,24.821,24.82,24.82,1514,2718
2016-08-11,25.09,25.09,25.09,25.09,731,2718
2016-08-15,25.202,25.202,25.202,25.202,375,2718
2016-08-17,24.937,24.937,24.937,24.937,106,2718
2016-08-18,25.148,25.148,25.148,25.148,208,2718
2016-08-23,25.293,25.293,25.293,25.293,210,2718
2016-08-31,25.051,25.051,25.051,25.051,107,2718
2016-09-02,25.202,25.214,25.158,25.176,5360,2718
2016-09-09,25.09,25.09,24.769,24.769,1942,2718
2016-09-12,25.004,25.014,25.004,25.014,727,2718
2016-09-30,25.09,25.09,25.09,25.09,139,2718
2016-10-12,24.918,24.918,24.918,24.918,156,2718
2016-10-19,24.966,24.966,24.966,24.966,207,2718
2016-10-27,24.98,24.98,24.935,24.935,1112,2718
2016-11-02,24.658,24.658,24.658,24.658,400,2718
2016-11-03,24.58,24.58,24.58,24.58,328,2718
2016-11-10,25.912,25.912,25.835,25.835,799,2718
2016-11-11,25.853,25.863,25.853,25.863,2420,2718
2016-11-16,26.22,26.234,26.216,26.22,947,2718
2016-11-17,26.298,26.298,26.293,26.293,289,2718
2016-11-23,26.607,26.627,26.607,26.607,1024,2718
2016-11-25,26.732,26.732,26.717,26.732,426,2718
2016-11-29,26.598,26.598,26.598,26.598,426,2718
2016-12-01,26.596,26.617,26.517,26.517,3782,2718
2016-12-05,26.752,26.752,26.752,26.752,307,2718
2016-12-06,26.781,26.781,26.758,26.758,1657,2718
2016-12-07,27.279,27.279,27.279,27.279,365,2718
2016-12-09,27.474,27.475,27.474,27.475,741,2718
2016-12-13,27.524,27.573,27.524,27.573,3004,2718
2016-12-15,27.515,27.524,27.38,27.38,675,2718
2016-12-20,27.37,27.37,27.342,27.37,2490,2718
2016-12-22,27.263,27.263,27.212,27.253,1562,2718
2016-12-23,27.227,27.295,27.227,27.276,5580,2718
2016-12-27,27.339,27.339,27.339,27.339,610,2718
2016-12-28,27.472,27.472,27.472,27.472,404,2718
2016-12-30,27.074,27.074,27.074,27.074,213,2718
2017-01-03,27.345,27.345,27.236,27.236,322,2718
2017-01-10,27.295,27.295,27.216,27.216,5521,2718
2017-01-11,27.305,27.305,27.246,27.246,1169,2718
2017-01-13,27.315,27.315,27.315,27.315,375,2718
2017-01-17,27.359,27.359,27.276,27.276,1554,2718
2017-01-18,27.365,27.365,27.365,27.365,204,2718
2017-01-23,27.188,27.188,27.152,27.152,465,2718
2017-01-30,27.384,27.384,27.384,27.384,462,2718
2017-02-01,27.313,27.327,27.313,27.327,203,2718
2017-02-06,27.634,27.634,27.634,27.634,130,2718
2017-02-10,27.846,28.003,27.846,28.003,1673,2718
2017-02-17,28.367,28.367,28.367,28.367,594,2718
2017-02-21,28.544,28.662,28.544,28.64,3995,2718
2017-02-22,28.652,28.652,28.652,28.652,196,2718
2017-02-23,28.602,28.602,28.602,28.602,105,2718
2017-02-24,28.534,28.606,28.534,28.606,9547,2718
2017-02-27,28.691,28.691,28.682,28.682,607,2718
2017-02-28,28.652,28.662,28.642,28.642,2650,2718
2017-03-01,28.947,28.954,28.927,28.927,2499,2718
2017-03-02,29.036,29.036,28.692,28.721,10230,2718
2017-03-03,28.687,28.73,28.679,28.73,2949,2718
2017-03-06,28.544,28.621,28.544,28.621,3681,2718
2017-03-07,28.473,28.536,28.457,28.465,628,2718
2017-03-09,28.352,28.352,28.352,28.352,256,2718
2017-03-10,28.416,28.447,28.416,28.447,1323,2718
2017-03-20,28.447,28.447,28.447,28.447,0,2718
2017-03-21,28.514,28.514,28.496,28.496,401,2718
2017-03-24,28.24,28.24,28.19,28.19,557,2718
2017-03-28,28.36,28.36,28.36,28.36,346,2718
2017-03-31,28.564,28.564,28.564,28.564,213,2718
2017-04-04,28.411,28.411,28.271,28.311,980,2718
2017-04-05,28.439,28.439,28.429,28.429,1764,2718
2017-04-07,28.371,28.381,28.368,28.368,822,2718
2017-04-10,28.421,28.429,28.421,28.429,1958,2718
2017-04-11,28.401,28.401,28.291,28.341,541,2718
2017-04-12,28.311,28.311,28.285,28.285,1923,2718
2017-04-18,28.173,28.173,28.173,28.173,606,2718
