Date,Open,High,Low,Close,Volume,stock_id
2015-10-07,2.65,2.65,2.5,2.55,75000,6560
2015-10-08,2.52,2.6,2.52,2.55,40900,6560
2015-10-09,2.66,2.7,2.56,2.57,104200,6560
2015-10-12,2.65,2.7,2.63,2.65,26142,6560
2015-10-13,2.68,2.68,2.5,2.5,40500,6560
2015-10-14,2.59,2.74,2.55,2.74,104800,6560
2015-10-15,2.77,2.77,2.7,2.72,75700,6560
2015-10-16,2.7,2.77,2.66,2.67,57400,6560
2015-10-19,2.75,2.75,2.56,2.63,98900,6560
2015-10-20,2.63,2.6999,2.6,2.6799,32543,6560
2015-10-21,2.65,2.65,2.5,2.53,70600,6560
2015-10-22,2.5,2.6,2.43,2.55,50400,6560
2015-10-23,2.55,2.61,2.48,2.5,101900,6560
2015-10-26,2.5,2.69,2.4,2.41,66500,6560
2015-10-27,2.43,2.63,2.43,2.54,25600,6560
2015-10-28,2.7,2.73,2.45,2.49,75900,6560
2015-10-29,2.49,2.51,2.4,2.43,48400,6560
2015-10-30,2.47,2.5,2.41,2.46,54000,6560
2015-11-02,2.4,2.43,2.37,2.4,49883,6560
2015-11-03,2.53,2.53,2.35,2.5,62700,6560
2015-11-04,2.5,2.53,2.42,2.44,45276,6560
2015-11-05,2.4,2.48,2.31,2.36,104200,6560
2015-11-06,2.27,2.32,2.11,2.25,126900,6560
2015-11-09,2.23,2.3,2.18,2.22,121221,6560
2015-11-10,2.28,2.28,2.15,2.2,50100,6560
2015-11-11,2.13,2.26,2.13,2.2,34900,6560
2015-11-12,2.24,2.38,2.14,2.26,69100,6560
2015-11-13,2.14,2.32,2.1,2.22,203600,6560
2015-11-16,2.25,2.33,2.18,2.18,27300,6560
2015-11-17,2.18,2.2,2.02,2.07,126100,6560
2015-11-18,2.06,2.12,2.02,2.09,57900,6560
2015-11-19,2.15,2.18,2.12,2.14,23200,6560
2015-11-20,2.14,2.14,2.05,2.09,63600,6560
2015-11-23,2.09,2.09,2.0,2.06,49100,6560
2015-11-24,2.2,2.2,2.08,2.09,43800,6560
2015-11-25,2.09,2.13,2.06,2.08,88000,6560
2015-11-27,2.01,2.01,1.96,1.96,74500,6560
2015-11-30,1.95,1.96,1.93,1.96,92800,6560
2015-12-01,1.92,2.04,1.91,1.99,208208,6560
2015-12-02,2.0,2.06,1.9,1.98,72694,6560
2015-12-03,2.03,2.15,1.95,2.09,88547,6560
2015-12-04,2.09,2.23,2.09,2.2,218000,6560
2015-12-07,2.25,2.31,2.0,2.14,59500,6560
2015-12-08,2.22,2.22,2.1,2.1,103947,6560
2015-12-09,2.21,2.22,2.11,2.12,47300,6560
2015-12-10,2.16,2.17,2.11,2.12,75100,6560
2015-12-11,2.15,2.15,2.06,2.08,57000,6560
2015-12-14,2.09,2.1,1.96,1.97,110610,6560
2015-12-15,2.04,2.04,1.95,1.96,38200,6560
2015-12-16,1.95,2.11,1.95,2.0,133300,6560
2015-12-17,1.98,2.05,1.91,1.92,108200,6560
2015-12-18,1.95,2.03,1.95,2.0,77200,6560
2015-12-21,2.05,2.06,2.0,2.05,115800,6560
2015-12-22,2.07,2.09,2.0,2.03,275330,6560
2015-12-23,2.07,2.08,2.03,2.08,32400,6560
2015-12-24,2.09,2.1,2.07,2.08,40229,6560
2015-12-28,2.03,2.15,2.03,2.05,43922,6560
2015-12-29,2.03,2.14,2.03,2.05,48021,6560
2015-12-30,2.04,2.07,2.03,2.05,22877,6560
2015-12-31,2.06,2.06,2.01,2.06,70273,6560
2016-01-04,2.1,2.1199,1.97,1.99,144930,6560
2016-01-05,2.04,2.04,1.93,1.93,113177,6560
2016-01-06,1.95,2.03,1.94,1.98,131818,6560
