Date,Open,High,Low,Close,Volume,stock_id
2017-06-23,24.853,24.853,24.844,24.844,474,2337
2017-06-26,24.942,24.942,24.907,24.907,402,2337
2017-06-27,24.833,24.833,24.768,24.768,1867,2337
2017-06-28,24.892,24.892,24.853,24.853,745,2337
2017-06-29,24.753,24.753,24.593,24.617,6936,2337
2017-06-30,24.713,24.713,24.713,24.713,1007,2337
2017-07-03,24.863,24.872,24.863,24.872,201,2337
2017-07-06,24.643,24.643,24.643,24.643,402,2337
2017-07-07,24.703,24.703,24.703,24.703,3499,2337
2017-07-10,24.703,24.703,24.703,24.703,1208,2337
2017-07-14,24.843,24.843,24.843,24.843,503,2337
2017-07-17,24.922,24.981,24.922,24.961,1107,2337
2017-07-18,24.91,24.91,24.906,24.906,1207,2337
2017-07-21,25.049,25.099,25.049,25.099,604,2337
2017-07-28,25.0,25.099,25.0,25.099,393,2337
2017-08-01,25.228,25.228,25.213,25.213,1493,2337
2017-08-03,25.347,25.347,25.242,25.242,1227,2337
2017-08-04,25.347,25.347,25.228,25.228,3971,2337
2017-08-07,25.271,25.297,25.271,25.297,1710,2337
2017-08-08,25.357,25.357,25.347,25.347,209,2337
2017-08-09,25.312,25.384,25.312,25.365,805,2337
2017-08-10,25.327,25.327,25.287,25.287,1106,2337
2017-08-11,25.327,25.327,25.288,25.295,6229,2337
2017-08-15,25.421,25.421,25.421,25.421,430,2337
2017-08-16,25.466,25.499,25.465,25.476,2110,2337
2017-08-17,25.416,25.416,25.266,25.276,1005,2337
2017-08-23,25.286,25.286,25.246,25.246,75971,2337
2017-08-24,25.236,25.256,25.232,25.252,3015,2337
2017-08-30,25.207,25.246,25.207,25.246,805,2337
2017-08-31,25.276,25.276,25.276,25.276,1423,2337
2017-09-05,25.023,25.028,25.023,25.028,442,2337
2017-09-06,25.107,25.107,25.107,25.107,1105,2337
2017-09-07,24.932,24.932,24.932,24.932,573,2337
2017-09-08,24.872,25.022,24.872,25.022,9999,2337
2017-09-20,25.331,25.331,25.31,25.31,200,2337
2017-09-21,25.333,25.333,25.276,25.276,220,2337
2017-09-22,25.301,25.301,25.273,25.273,269,2337
2017-09-27,25.281,25.281,25.281,25.281,119,2337
2017-10-02,25.511,25.511,25.511,25.511,100,2337
2017-10-03,25.65,25.65,25.65,25.65,117,2337
2017-10-16,25.92,25.92,25.92,25.92,147,2337
2017-10-26,25.9999,25.9999,25.9999,25.9999,200,2337
2017-10-27,26.1799,26.1799,26.1435,26.1435,390,2337
2017-11-01,26.19,26.19,26.19,26.19,101,2337
2017-11-02,26.19,26.19,26.19,26.19,190,2337
2017-11-03,26.31,26.31,26.31,26.31,200,2337
2017-11-07,26.29,26.29,26.29,26.29,700,2337
2017-11-09,26.3631,26.3631,26.3631,26.3631,114,2337
