Date,Open,High,Low,Close,Volume,stock_id
2017-04-24,26.906,26.989,26.88,26.88,864,6784
2017-04-26,27.21,27.21,27.21,27.21,200,6784
2017-05-01,27.05,27.05,27.04,27.05,1150,6784
2017-05-09,27.54,27.76,27.54,27.7599,800,6784
2017-05-19,27.85,27.85,27.72,27.72,400,6784
2017-05-23,27.87,27.87,27.87,27.87,555,6784
2017-06-07,28.0999,28.12,28.0775,28.12,3649,6784
2017-06-08,28.04,28.04,28.0395,28.0395,362,6784
2017-06-09,28.1591,28.1591,28.1591,28.1591,325,6784
2017-06-12,28.0,28.05,28.0,28.0,1000,6784
2017-06-13,28.0845,28.0845,28.0845,28.0845,200,6784
2017-06-14,28.27,28.27,28.1699,28.17,1260,6784
2017-06-16,28.07,28.17,28.07,28.17,325,6784
2017-06-20,28.195,28.2,28.195,28.2,712,6784
2017-06-21,28.12,28.12,28.11,28.11,570,6784
2017-06-22,28.0745,28.0745,28.0745,28.0745,113,6784
2017-06-26,28.16,28.1699,28.142,28.16,2414,6784
2017-06-28,27.8399,27.8399,27.83,27.83,330,6784
2017-06-29,27.44,27.44,27.31,27.31,213,6784
2017-07-03,27.54,27.56,27.52,27.53,1000,6784
2017-07-06,27.23,27.23,27.23,27.23,100,6784
2017-07-10,27.47,27.47,27.4453,27.4453,404,6784
2017-07-17,27.86,27.8699,27.8277,27.8586,2344,6784
2017-07-18,27.7188,27.7224,27.7188,27.7224,645,6784
2017-07-20,27.794,27.99,27.77,27.9611,4846,6784
2017-07-21,27.7,27.7,27.7,27.7,172,6784
2017-07-24,27.51,27.54,27.48,27.54,976,6784
2017-07-27,27.94,27.94,27.81,27.81,846,6784
2017-07-31,27.479,27.479,27.479,27.479,117,6784
2017-08-03,27.775,27.775,27.775,27.775,202,6784
2017-08-07,27.9599,27.9599,27.9158,27.9158,489,6784
2017-08-14,27.725,27.725,27.725,27.725,100,6784
2017-08-15,27.735,27.74,27.735,27.74,289,6784
2017-09-05,27.47,27.47,27.47,27.47,303,6784
2017-09-11,28.123,28.123,28.123,28.123,188,6784
2017-09-15,27.99,27.99,27.99,27.99,187,6784
2017-09-26,28.1466,28.1466,28.1389,28.1389,779,6784
2017-09-27,28.2177,28.2177,28.2177,28.2177,299,6784
2017-10-02,28.66,28.66,28.66,28.66,656,6784
2017-10-06,28.8,28.8,28.5,28.5,400,6784
2017-10-10,28.7465,28.7465,28.7465,28.7465,196,6784
2017-10-16,28.775,28.775,28.775,28.775,196,6784
2017-10-19,28.75,28.835,28.75,28.835,386,6784
2017-10-20,28.82,28.8399,28.82,28.8399,1735,6784
2017-10-24,28.81,28.81,28.7808,28.7808,268,6784
2017-10-26,28.8501,28.99,28.8501,28.99,535,6784
2017-10-30,29.102,29.21,29.102,29.21,683,6784
2017-11-01,29.2301,29.2301,29.2301,29.2301,200,6784
2017-11-03,29.4199,29.42,29.4199,29.42,324,6784
2017-11-06,29.291,29.43,29.291,29.42,2752,6784
2017-11-07,29.45,29.45,29.45,29.45,300,6784
2017-11-09,28.85,28.85,28.85,28.85,200,6784
